cik,company
1800,ABBOTT LABORATORIES
1018724,AMAZON COM INC
732717,AT&T INC.
5907,AT&T CORP
1527166,Carlyle Group L.P.
1548624,Carlyle Group Management L.L.C.
37996,FORD MOTOR CO
886982,GOLDMAN SACHS GROUP INC
904571,GOLDMAN SACHS GROUP INC
200406,JOHNSON & JOHNSON
1404912,KKR & Co. Inc.
1399769,KKR & Co. LLC
67686,PHARMACIA CORP /DE/
1110783,MONSANTO CO /NEW/
1324087,Monsanto Finance Canada Co.
929408,WARBURG PINCUS & CO.
