,0
0,0.24069923800986098
1,0.24271627073061414
2,0.24137158225011207
3,0.2440609592111161
4,0.24473330345136707
5,0.23890632003585827
6,0.22523532048408784
7,0.2214253697893322
8,0.2214253697893322
9,0.20797848498431198
10,0.19520394441954275
11,0.204616763783057
12,0.20259973106230383
13,0.2115643209323173
14,0.20416853428955622
15,0.18646346929627972
16,0.17346481398476016
17,0.16270730614074397
18,0.1770506499327656
19,0.16943074854325407
20,0.17189601075750777
21,0.1705513222770057
22,0.18153294486777233
23,0.18108471537427168
24,0.17256835499775885
25,0.18242940385477363
26,0.18354997758852526
27,0.18915284625728362
28,0.1855670103092784
29,0.17525773195876287
30,0.16987897803675484
31,0.16248319139399375
32,0.16831017480950244
33,0.16898251904975342
34,0.17234424025100842
35,0.1763783056925145
36,0.17951591214701917
37,0.17279246974450907
38,0.16651725683549984
39,0.16606902734199908
40,0.14926042133572387
41,0.16920663379650386
42,0.17144778126400723
43,0.1788435679067683
44,0.1822052891080233
45,0.18444643657552667
46,0.1904975347377858
47,0.19273868220528906
48,0.1788435679067683
49,0.17951591214701917
50,0.18153294486777233
51,0.17324069923800994
52,0.17368892873151048
53,0.18265351860152396
54,0.1837740923352757
55,0.18018825638727026
56,0.1804123711340206
57,0.1797400268937696
58,0.1754818467055132
59,0.20327207530255492
60,0.21246077991931872
61,0.23128641864634686
62,0.22792469744509186
63,0.21918422232182883
64,0.22209771402958306
65,0.21873599282832806
66,0.23195876288659795
67,0.22613177947108914
68,0.22456297624383686
69,0.22590766472433893
70,0.21447781264007165
71,0.24562976243836837
72,0.23980277902285968
73,0.2474226804123711
74,0.23957866427610935
75,0.22545943523083817
76,0.22501120573733752
77,0.21806364858807709
78,0.2097714029583146
79,0.2048408785298072
80,0.19744509188704612
81,0.19027341999103536
82,0.188032272523532
83,0.17839533841326755
84,0.1898251904975347
85,0.18780815777678178
86,0.19610040340654417
87,0.20013446884805025
88,0.18623935454952928
89,0.18870461676378308
90,0.21537427162707296
91,0.22770058269834142
92,0.22613177947108914
93,0.23711340206185566
94,0.24607799193186913
95,0.24114746750336163
96,0.24092335275661142
97,0.24025100851636033
98,0.207306140744061
99,0.2082025997310622
100,0.20103092783505155
101,0.21358135365307035
102,0.2256835499775885
103,0.23038995965934567
104,0.3068130883012102
105,0.30726131779471083
106,0.3236216943074854
107,0.29896907216494845
108,0.2958314657104438
109,0.2736441057821604
110,0.28395338413267596
111,0.288659793814433
112,0.27297176154190944
113,0.2700582698341551
114,0.2675930076199013
115,0.292693859255939
116,0.28978036754818465
117,0.2996414164051994
118,0.292021515015688
119,0.3068130883012102
120,0.31420887494397126
121,0.32339757956073517
122,0.321380546839982
123,0.29829672792469736
124,0.29224562976243834
125,0.288659793814433
126,0.25123263110712674
127,0.23442402510085153
128,0.2366651725683549
129,0.2113402061855671
130,0.22030479605558045
131,0.2290452711788435
132,0.24450918870461674
133,0.25862841774988793
134,0.25997310623039
135,0.2534737785746301
136,0.25123263110712674
137,0.24271627073061414
138,0.2415956969968624
139,0.22792469744509186
140,0.23554459883460327
141,0.22523532048408784
142,0.22792469744509186
143,0.2315105333930973
144,0.23688928731510533
145,0.23419991035410131
146,0.22926938592559393
147,0.2308381891528462
148,0.21515015688032274
149,0.2207530255490811
150,0.23218287763334816
151,0.2173913043478261
152,0.2216494845360824
153,0.23195876288659795
154,0.24137158225011207
155,0.25033617212012543
156,0.2440609592111161
157,0.2366651725683549
158,0.2366651725683549
159,0.22545943523083817
160,0.22613177947108914
161,0.21447781264007165
162,0.22971761541909458
163,0.23644105782160468
164,0.23128641864634686
165,0.2669206633796503
166,0.26714477812640064
167,0.2776781712236665
168,0.2803675481846705
169,0.2684894666069028
170,0.2902285970416853
171,0.29986553115194986
172,0.2893321380546839
173,0.25459435230838184
174,0.2642312864186463
175,0.27879874495741813
176,0.29560735096369334
177,0.3045719408337068
178,0.2770058269834154
179,0.2783505154639175
