Column1,Actual,Predicted,Column2,Column3,Long,Short,,,
96,144.2,143.46722,-0.38%,-1.95%,FALSE,1,,,
97,147.3,142.32632,2.15%,-0.80%,FALSE,FALSE,,,
98,146.4,142.86327,-0.61%,0.38%,FALSE,FALSE,,,
99,144.55,143.24472,-1.26%,0.27%,FALSE,FALSE,,,
100,145,142.8478,0.31%,-0.28%,FALSE,FALSE,,,
101,142.45,142.00919,-1.76%,-0.59%,FALSE,1,,,
102,144.6,141.21043,1.51%,-0.56%,FALSE,FALSE,,,
103,145.1,141.66458,0.35%,0.32%,1,FALSE,,,
104,146.7,142.51248,1.10%,0.60%,1,FALSE,,,
105,148.35,143.76968,1.12%,0.88%,1,FALSE,,,
106,149.45,145.03833,0.74%,0.88%,1,FALSE,,,
107,151.3,145.90222,1.24%,0.60%,1,FALSE,,,
108,152.85,147.60576,1.02%,1.17%,1,FALSE,,,
109,152.95,148.87154,0.07%,0.86%,1,FALSE,,,
110,156.1,149.94853,2.06%,0.72%,1,FALSE,,,
111,157.85,151.1312,1.12%,0.79%,1,FALSE,,,
112,156.15,152.56836,-1.08%,0.95%,FALSE,FALSE,,,
113,157.45,152.98825,0.83%,0.28%,1,FALSE,,,
114,150.5,151.31784,-4.41%,-1.09%,FALSE,1,,,
115,153.05,149.92996,1.69%,-0.92%,FALSE,FALSE,,,
116,152.75,149.4934,-0.20%,-0.29%,FALSE,1,,,
117,153.1,149.19109,0.23%,-0.20%,FALSE,FALSE,,,
118,154.4,149.62723,0.85%,0.29%,1,FALSE,,,
119,151.45,149.51556,-1.91%,-0.07%,FALSE,1,,,
120,152.2,148.59828,0.50%,-0.61%,FALSE,FALSE,,,
121,151.55,148.4287,-0.43%,-0.11%,FALSE,1,,,
122,153.5,148.18503,1.29%,-0.16%,FALSE,FALSE,,,
123,154.25,149.11261,0.49%,0.63%,1,FALSE,,,
124,150.05,148.21994,-2.72%,-0.60%,FALSE,1,,,
125,148,146.92015,-1.37%,-0.88%,FALSE,1,,,
126,141.8,143.99213,-4.19%,-1.99%,FALSE,1,,,
127,142.75,141.00922,0.67%,-2.07%,FALSE,FALSE,,,
128,142.9,140.17172,0.11%,-0.59%,FALSE,FALSE,,,
129,142.85,140.10936,-0.03%,-0.04%,FALSE,1,,,
130,143.65,140.51611,0.56%,0.29%,1,FALSE,,,
131,143.4,141.18896,-0.17%,0.48%,FALSE,FALSE,,,
132,141.4,140.68315,-1.39%,-0.36%,FALSE,1,,,
133,141.3,139.77612,-0.07%,-0.64%,FALSE,1,,,
134,143.15,139.25465,1.31%,-0.37%,FALSE,FALSE,,,
135,142.7,139.9397,-0.31%,0.49%,FALSE,FALSE,,,
136,142.55,140.01297,-0.11%,0.05%,FALSE,FALSE,,,
137,145.65,140.69395,2.17%,0.49%,1,FALSE,,,
138,145.15,141.59238,-0.34%,0.64%,FALSE,FALSE,,,
139,143.8,141.81044,-0.93%,0.15%,FALSE,FALSE,,,
140,143.3,141.30197,-0.35%,-0.36%,FALSE,1,,,
141,142.55,140.1974,-0.52%,-0.78%,FALSE,1,,,
142,140.9,139.13107,-1.16%,-0.76%,FALSE,1,,,
143,140.4,138.41254,-0.35%,-0.52%,FALSE,1,,,
144,135.95,136.87627,-3.17%,-1.11%,FALSE,1,,,
145,139.7,135.4086,2.76%,-1.07%,FALSE,FALSE,,,
146,139.8,136.09848,0.07%,0.51%,1,FALSE,,,
147,141.2,136.95436,1.00%,0.63%,1,FALSE,,,
148,142.7,138.61676,1.06%,1.21%,1,FALSE,,,
149,142,139.6804,-0.49%,0.77%,FALSE,FALSE,,,
150,141.1,139.75531,-0.63%,0.05%,FALSE,FALSE,,,
151,140.35,139.11525,-0.53%,-0.46%,FALSE,1,,,
152,140.2,138.52263,-0.11%,-0.43%,FALSE,1,,,
153,138.9,137.79129,-0.93%,-0.53%,FALSE,1,,,
154,140.55,137.42685,1.19%,-0.26%,FALSE,FALSE,,,
155,141.75,137.84929,0.85%,0.31%,1,FALSE,,,
156,144.05,138.93149,1.62%,0.79%,1,FALSE,,,
157,144.85,140.49696,0.56%,1.13%,1,FALSE,,,
158,143.6,141.32733,-0.86%,0.59%,FALSE,FALSE,,,
159,143.35,141.3608,-0.17%,0.02%,FALSE,FALSE,,,
160,141.15,140.65668,-1.53%,-0.50%,FALSE,1,,,
161,143.05,139.53561,1.35%,-0.80%,FALSE,FALSE,,,
162,143.15,139.95251,0.07%,0.30%,1,FALSE,,,
163,140.7,139.12971,-1.71%,-0.59%,FALSE,1,,,
164,141,138.66104,0.21%,-0.34%,FALSE,FALSE,,,
165,140.45,138.01535,-0.39%,-0.47%,FALSE,1,,,
166,142.15,137.22186,1.21%,-0.57%,FALSE,FALSE,,,
167,138.95,137.76747,-2.25%,0.40%,FALSE,FALSE,,,
168,141.35,137.4827,1.73%,-0.21%,FALSE,FALSE,,,
169,144.25,138.35144,2.05%,0.63%,1,FALSE,,,
170,148.2,140.22914,2.74%,1.36%,1,FALSE,,,
171,149.85,143.34062,1.11%,2.22%,1,FALSE,,,
172,147.85,144.3673,-1.33%,0.72%,FALSE,FALSE,,,
173,148.3,145.03986,0.30%,0.47%,1,FALSE,,,
174,146.2,144.50792,-1.42%,-0.37%,FALSE,1,,,
175,149.05,144.4094,1.95%,-0.07%,FALSE,FALSE,,,
176,152.05,145.45622,2.01%,0.72%,1,FALSE,,,
177,152.05,147.34927,0.00%,1.30%,FALSE,FALSE,,,
178,152.9,148.33415,0.56%,0.67%,1,FALSE,,,
179,155.95,149.46574,1.99%,0.76%,1,FALSE,,,
180,157.25,151.0954,0.83%,1.09%,1,FALSE,,,
181,157.1,152.64209,-0.10%,1.02%,FALSE,FALSE,,,
182,156.5,153.28664,-0.38%,0.42%,FALSE,FALSE,,,
183,156.8,153.38443,0.19%,0.06%,1,FALSE,,,
184,156.35,153.31937,-0.29%,-0.04%,FALSE,1,,,
185,154.95,152.61429,-0.90%,-0.46%,FALSE,1,,,
186,160.5,152.7798,3.58%,0.11%,1,FALSE,,,
187,160.45,154.63034,-0.03%,1.21%,FALSE,FALSE,,,
188,159.8,155.49232,-0.41%,0.56%,FALSE,FALSE,,,
189,158.05,155.04622,-1.10%,-0.29%,FALSE,1,,,
190,161.05,154.45277,1.90%,-0.38%,FALSE,FALSE,,,
191,157.25,152.90941,-2.36%,-1.00%,FALSE,1,,,
192,154.7,152.51541,-1.62%,-0.26%,FALSE,1,,,
193,153.1,151.3927,-1.03%,-0.74%,FALSE,1,,,
194,147.5,147.90692,-3.66%,-2.30%,FALSE,1,,,
195,148.2,145.92923,0.47%,-1.34%,FALSE,FALSE,,,
196,144.75,144.4832,-2.33%,-0.99%,FALSE,1,,,
197,143.45,143.10542,-0.90%,-0.95%,FALSE,1,,,
198,145.15,142.02345,1.19%,-0.76%,FALSE,FALSE,,,
199,146.75,142.30006,1.10%,0.19%,1,FALSE,,,
200,147,143.24461,0.17%,0.66%,1,FALSE,,,
201,147.45,144.03506,0.31%,0.55%,1,FALSE,,,
202,146.7,144.27197,-0.51%,0.16%,FALSE,FALSE,,,
203,146.2,143.99986,-0.34%,-0.19%,FALSE,1,,,
204,146.65,143.8438,0.31%,-0.11%,FALSE,FALSE,,,
205,145.55,143.9177,-0.75%,0.05%,FALSE,FALSE,,,
206,146.8,143.61934,0.86%,-0.21%,FALSE,FALSE,,,
207,149.3,143.83202,1.70%,0.15%,1,FALSE,,,
208,148.9,144.88759,-0.27%,0.73%,FALSE,FALSE,,,
209,147.65,145.29956,-0.84%,0.28%,FALSE,FALSE,,,
210,145.05,144.04927,-1.76%,-0.86%,FALSE,1,,,
211,145.5,143.09315,0.31%,-0.66%,FALSE,FALSE,,,
212,142.4,141.72646,-2.13%,-0.96%,FALSE,1,,,
213,141.8,140.35904,-0.42%,-0.96%,FALSE,1,,,
214,143.65,139.80333,1.30%,-0.40%,FALSE,FALSE,,,
215,145.35,140.11742,1.18%,0.22%,1,FALSE,,,
216,144.55,141.31473,-0.55%,0.85%,FALSE,FALSE,,,
217,147.7,141.8229,2.18%,0.36%,1,FALSE,,,
218,143.95,141.03946,-2.54%,-0.55%,FALSE,1,,,
219,144.3,140.63307,0.24%,-0.29%,FALSE,FALSE,,,
220,154.55,139.05392,7.10%,-1.12%,FALSE,FALSE,,,
221,156.55,145.66064,1.29%,4.75%,1,FALSE,,,
222,160.1,150.70946,2.27%,3.47%,1,FALSE,,,
223,160.35,154.94318,0.16%,2.81%,1,FALSE,,,
224,163.55,156.84239,2.00%,1.23%,1,FALSE,,,
225,167.6,159.19019,2.48%,1.50%,1,FALSE,,,
226,169.5,161.66432,1.13%,1.55%,1,FALSE,,,
227,167.7,163.86034,-1.06%,1.36%,FALSE,FALSE,,,
228,164,162.61545,-2.21%,-0.76%,FALSE,1,,,
229,165,161.12793,0.61%,-0.91%,FALSE,FALSE,,,
230,162.4,160.24968,-1.58%,-0.55%,FALSE,1,,,
231,163.25,159.1783,0.52%,-0.67%,FALSE,FALSE,,,
232,163.85,159.55441,0.37%,0.24%,1,FALSE,,,
233,165.45,159.18542,0.98%,-0.23%,FALSE,FALSE,,,
234,158.75,158.07195,-4.05%,-0.70%,FALSE,1,,,
235,161.85,157.22949,1.95%,-0.53%,FALSE,FALSE,,,
236,159.6,157.13339,-1.39%,-0.06%,FALSE,1,,,
237,164.2,156.83177,2.88%,-0.19%,FALSE,FALSE,,,
238,162,158.0414,-1.34%,0.77%,FALSE,FALSE,,,
239,158.05,157.2812,-2.44%,-0.48%,FALSE,1,,,
240,159.45,156.13673,0.89%,-0.73%,FALSE,FALSE,,,
241,160.05,155.70886,0.38%,-0.27%,FALSE,FALSE,,,
242,160.15,156.04536,0.06%,0.22%,1,FALSE,,,
243,155.55,155.14494,-2.87%,-0.58%,FALSE,1,,,
244,155.8,153.54643,0.16%,-1.03%,FALSE,FALSE,,,
