CEO_TARGET,Date Announced,cik,surname,year_ann
richard c. close,11/6/96,23023,close,1996
edward b. cloues,11/1/10,20,cloues,2010
granger cobb,20/2/14,1001604,cobb,2014
alan p. cohen,13/3/06,911755,cohen,2006
benjamin c. cohen,16/3/98,949871,cohen,1998
edward e. cohen,13/10/14,1623595,cohen,2014
edward e. cohen,9/11/10,1279228,cohen,2010
derrell c. coker,2/3/98,872918,coker,1998
stuart j.m. collinson,29/4/01,1010919,collinson,2001
william t. comer,2/8/99,1011065,comer,1999
eugene p. conese,10/3/97,891461,conese,1997
thomas connerty,10/8/12,1094058,connerty,2012
john connolly,19/4/01,1017174,connolly,2001
anthony j. conway,4/9/13,868368,conway,2013
clifton l. cooke,21/2/08,96057,cooke,2008
jeffrey e. coombs,19/6/08,895095,coombs,2008
joseph r. coppola,23/11/98,201493,coppola,1998
gary a. corless,22/6/00,920527,corless,2000
peter a. corrao,17/10/11,1094808,corrao,2011
steven d. cosler,21/7/05,1037975,cosler,2005
michael p. coughlin,9/11/99,876573,coughlin,1999
arthur w. coviello,29/6/06,932064,coviello,2006
joseph l. cowan,24/4/06,908440,cowan,2006
joseph l. cowan,8/11/04,1096512,cowan,2004
geoffrey f. cox,24/4/01,854691,cox,2001
j. r. crespo,23/4/99,310103,crespo,1999
nicholas csendes,31/3/08,849433,csendes,2008
randall e. curran,1/10/10,1041954,curran,2010
kenneth p. currier,3/3/99,939730,currier,1999
ashraf m. dahod,13/10/09,1391672,dahod,2009
michael d. dale,29/4/10,824068,dale,2010
james e. dalton,18/10/00,854694,dalton,2000
william a. dambrackas,6/11/00,772465,dambrackas,2000
george j. damiris,31/3/03,48039,damiris,2003
george j. damiris,15/4/98,48039,damiris,1998
michael a. daniels,7/3/00,1030341,daniels,2000
john w. danner,12/7/99,1036419,danner,1999
craig t. davenport,21/4/09,1003464,davenport,2009
charles d. davidson,17/3/00,918252,davidson,2000
george a. davidson ,22/2/99,23738,davidson,1999
d. westervelt davis,14/11/00,803395,davis,2000
joe r. davis,24/10/13,921500,davis,2013
peter a. dea,8/5/01,351993,dea,2001
robert a. degan,27/7/98,900095,degan,1998
robert h. deming,26/8/98,818268,deming,1998
robert j. dennis,18/6/07,18498,dennis,2007
david a. derby,25/6/01,27116,derby,2001
donald f. detampel,6/2/06,1046832,detampel,2006
e. thomas detmer,29/2/00,1092393,detmer,2000
david dewalt,14/10/03,930885,dewalt,2003
stephen w. dewitt,18/9/00,1053355,dewitt,2000
thomas w. dickson,9/7/13,85704,dickson,2013
gifford a. dieterle,1/10/10,726845,dieterle,2010
charles digiovanna,14/1/98,103392,digiovanna,1998
louis dinardo,14/3/04,319191,dinardo,2004
