CEO_TARGET,Date Announced,cik,surname,year_ann
brian b. obie,20/9/04,1025169,obie,2004
mark f. oconnell,1/3/06,786998,oconnell,2006
matthew m. oconnell,23/7/12,1040570,oconnell,2012
jeff l. odell,27/1/05,1063527,odell,2005
emery g. olcott,16/7/01,1035975,olcott,2001
keith olsen,21/10/09,1371011,olsen,2009
peter h. van oppen,2/5/06,770403,oppen,2006
david j. orfao,16/1/01,1016139,orfao,2001
andrew d. ory,4/2/13,1130258,ory,2013
james e. ousley,27/4/11,1058444,ousley,2011
richard owen,20/12/02,1110700,owen,2002
sam owusu-akyaw,17/8/10,874734,owusu-akyaw,2010
mark c. ozur,15/6/99,718576,ozur,1999
john e. paget,19/3/98,820735,paget,1998
robert j. palmisano,5/1/07,1163848,palmisano,2007
mahmood m. panjwani,6/8/03,1093242,panjwani,2003
louis d. paolino,17/8/98,815272,paolino,1998
richard w. pascoe,11/12/12,1339455,pascoe,2012
james leonard pate,20/5/99,77320,pate,1999
thomas m. patrick,6/7/06,77385,patrick,2006
pamela h. patsley,22/3/99,1005759,patsley,1999
stuart r. patterson,24/4/03,1111345,patterson,2003
robert g. paul,18/2/03,3721,paul,2003
john w. paxton,26/7/00,352495,paxton,2000
philip m. pead,9/6/10,1034088,pead,2010
philip m. pead,6/11/06,878556,pead,2006
e. linwood pearce,20/10/99,1024752,pearce,1999
robert l. pearson,11/3/99,1038315,pearson,1999
robert p. peebler,1/7/96,749510,peebler,1996
daniel a. pelak,4/3/05,1016006,pelak,2005
gregory w. penske,10/5/99,1006605,penske,1999
robert s. pepper,4/3/99,908985,pepper,1999
francisco j. perez,1/10/99,768978,perez,1999
charles r. perrin,12/9/96,873482,perrin,1996
michael k. perry,9/6/09,719722,perry,2009
douglas a. pertz,9/2/98,945382,pertz,1998
david c. peterschmidt,23/12/02,1024302,peterschmidt,2002
cornelius peterson,30/10/01,1068885,peterson,2001
lynn a. peterson,13/7/14,1322866,peterson,2014
parker h. petit,28/1/08,1007228,petit,2008
gregory j. petras,3/10/97,804368,petras,1997
richard c. pfenniger,26/3/03,352183,pfenniger,2003
norman l. phelps,4/12/03,804121,phelps,2003
e. r. pickard,2/11/98,873730,pickard,1998
joshua pickus,9/6/05,1076641,pickus,2005
howard h. pien,1/9/05,706539,pien,2005
dominic j. pileggi,30/1/12,97854,pileggi,2012
robert p. pinkas,30/5/00,885741,pinkas,2000
henry a. plain,8/7/99,934438,plain,1999
larry pollock,8/10/03,769644,pollock,2003
christopher r. pook,27/3/98,1014957,pook,1998
samuel l. poole,4/6/97,943583,poole,1997
gerald a. potthoff,21/9/05,772891,potthoff,2005
bernard j. poussot,26/1/09,5187,poussot,2009
thomas f. power,30/1/01,874213,power,2001
paul j. powers,17/1/00,22470,powers,2000
jack e. pratt,7/8/02,888245,pratt,2002
billy d. prim,8/2/04,1034379,prim,2004
gary e. primm,9/11/98,901118,primm,1998
james pritchett,20/6/03,1053676,pritchett,2003
c. v. prothro,29/1/01,749420,prothro,2001
gerard e. puorro,9/9/09,793279,puorro,2009
jeffry n. quinn,27/1/12,1043382,quinn,2012
john a. rade,3/12/04,1104017,rade,2004
david v. radlinski,11/11/03,819939,radlinski,2003
paul m. rady,22/12/00,1069845,rady,2000
asuri raghavan,26/10/00,918647,raghavan,2000
gregory r. raifman,2/7/01,1091621,raifman,2001
kevin rakin,20/6/05,1110009,rakin,2005
richard d. randall,9/11/99,1003608,randall,1999
kenneth d. rardin,23/7/98,893329,rardin,1998
martin s. rash,16/8/04,1044942,rash,2004
jan rask,19/3/07,1210697,rask,2007
louis a. raspino,7/2/11,833081,raspino,2011
steven b. ratoff,5/8/03,833298,ratoff,2003
steven b. ratoff,21/8/03,833298,ratoff,2003
harris ravine,15/6/99,351810,ravine,1999
gene w. ray,15/9/03,32258,ray,2003
chandrashekar reddy,28/9/01,1063662,reddy,2001
john e. reed,26/5/99,65195,reed,1999
sam k. reed,26/10/00,1018848,reed,2000
david reese,26/9/02,854152,reese,2002
c. arnold renschler,11/1/99,792932,renschler,1999
joseph k. rensin,22/10/03,1043497,rensin,2003
thomas h. reslewic,29/5/12,943580,reslewic,2012
rosalind b. resnick,3/10/00,1091440,resnick,2000
brenda c. rhodes,2/12/03,1009657,rhodes,2003
oliver g. richard,28/2/00,22099,richard,2000
thomas s. richards,20/2/01,1073353,richards,2001
timothy a. richardson,14/8/06,875359,richardson,2006
p. anthony ridder,13/3/06,205520,ridder,2006
joseph m. rigby,30/4/14,1135971,rigby,2014
ronald a. rittenmeyer,13/5/99,1046817,rittenmeyer,1999
stephen r. rizzone,22/6/98,934620,rizzone,1998
david robbins,11/6/12,820097,robbins,2012
mark d. roberson,30/4/14,1302177,roberson,2014
james f. roberts,16/7/08,1301063,roberts,2008
lee d. roberts,9/8/06,706015,roberts,2006
richardson m. roberts,18/6/98,923410,roberts,1998
michael l. robertson,18/5/01,1078073,robertson,2001
ren j. robichaud,10/9/06,745026,robichaud,2006
howard w. robin,30/10/06,892112,robin,2006
donald r. roden,25/8/97,11454,roden,1997
robert rodin,28/6/99,62765,rodin,1999
gerald d. rogers,28/7/97,867105,rogers,1997
lawrence j. rogers,27/9/12,748015,rogers,2012
michael w. rogers,18/11/99,1022703,rogers,1999
michael w. rogers,2/4/02,1022703,rogers,2002
craig a. rogerson,11/7/08,46989,rogerson,2008
james l. rooney,18/11/98,877928,rooney,1998
richard m. rosenblatt,13/7/99,1020862,rosenblatt,1999
ronald l. roudebush,27/7/99,93448,roudebush,1999
richard r. rowe,28/5/01,1074676,rowe,2001
mark k. ruport,12/1/04,1014920,ruport,2004
john r. russell,11/5/98,913340,russell,1998
timothy l. russell,9/9/04,704914,russell,2004
thomas j. russo,30/11/98,875174,russo,1998
patrick t. ryan,28/8/07,878748,ryan,2007
ayman sabi,17/11/05,1019376,sabi,2005
carlos a. saladrigas,3/12/98,1008896,saladrigas,1998
harvey sanders,7/7/03,93736,sanders,2003
stephen a. sasser,25/11/02,872443,sasser,2002
philip m. sawyer,27/2/02,1013466,sawyer,2002
john schaeffer,16/10/00,912953,schaeffer,2000
ronald l. schauer,26/4/00,1005967,schauer,2000
david a. schawk,17/3/14,719164,schawk,2014
john b. scheumann,30/1/02,911644,scheumann,2002
thomas clayton schievelbein,18/1/10,1436040,schievelbein,2010
ralph schmitt,8/5/07,1007800,schmitt,2007
charles alvin schrock,23/6/14,916863,schrock,2014
william j. schroeder,22/6/99,936734,schroeder,1999
james k. schuler,23/10/01,883705,schuler,2001
daniel h. schulman,28/7/09,1396546,schulman,2009
jonathan i. schwartz,20/4/09,709519,schwartz,2009
werner j. schweiger,13/10/99,72741,schweiger,1999
alicia secor,4/3/10,821995,secor,2010
thomas b. selfridge,17/5/04,742685,selfridge,2004
david s. seltzer,27/8/13,887497,seltzer,2013
michael j. setola,4/2/03,86346,setola,2003
irik p. sevin,14/8/98,736768,sevin,1998
mark s. sexton,4/5/04,353943,sexton,2004
jonah shacknai,3/9/12,859368,shacknai,2012
bobby s. shackouls,12/12/05,833320,shackouls,2005
rob n. shaddock,21/2/01,949587,shaddock,2001
adam w. shaffer,10/11/05,1287503,shaffer,2005
charles e. shalvoy,10/10/02,884621,shalvoy,2002
timothy m. shannon,29/5/09,1030653,shannon,2009
elijahu shapira,17/1/01,1075316,shapira,2001
david w. sharp,11/6/07,1051431,sharp,2007
mayo a. shattuck,18/12/05,1004440,shattuck,2005
jonathan shaw,8/2/06,276283,shaw,2006
david j. shea,23/2/10,13610,shea,2010
jeremiah j. sheehan,11/8/99,83604,sheehan,1999
scott d. sheffield,7/5/13,1407463,sheffield,2013
james d. shelton,19/3/07,1074771,shelton,2007
w.e. sheriff,12/5/06,787784,sheriff,2006
john f. short,4/8/06,911673,short,2006
john h. short,8/2/11,812191,short,2011
alexander shubat,10/6/10,1050776,shubat,2010
arnold h. simon,17/9/97,1010472,simon,1997
peter j. simone,30/7/99,1014586,simone,1999
patrick p.h. sireta,2/11/05,1114973,sireta,2005
donald k. skinner,9/7/98,915910,skinner,1998
samuel k. skinner,27/2/05,881791,skinner,2005
john l. slack,6/1/98,27442,slack,1998
mason p. slaine,28/6/04,1063744,slaine,2004
james f. slattery,14/7/05,914670,slattery,2005
gregory slayton,9/10/02,944950,slayton,2002
kenneth a. sloan,3/4/06,845577,sloan,2006
frank slootman,20/5/09,1391984,slootman,2009
alan l smith,24/7/14,1502012,smith,2014
donald g. smith,18/10/05,84278,smith,2005
edward j. smith,17/11/04,26987,smith,2004
stephen e. smith,8/6/00,1075530,smith,2000
steven j. smith,30/7/14,54056,smith,2014
vincent c. smith,2/7/12,1088033,smith,2012
david b. snow,21/7/11,1170650,snow,2011
howard socol,11/11/04,1087414,socol,2004
michael j. soenen,30/4/08,1283157,soenen,2008
howard solomon,18/2/14,38074,solomon,2014
patrick c. sommers,7/11/97,1006361,sommers,1997
patrick soon-shiong,30/6/10,1141399,soon-shiong,2010
philip e. soran,13/12/10,1253955,soran,2010
joseph a. sorge,6/4/07,1108674,sorge,2007
raymond m. soto,3/9/14,354655,soto,2014
arthur m. southam,19/10/00,1005697,southam,2000
richard a. southworth,28/3/11,92769,southworth,2011
william t. spane,3/3/97,885273,spane,1997
donald speer,15/6/06,318291,speer,2006
martin sperber,25/5/00,948929,sperber,2000
john t. spitznagel,26/7/99,853022,spitznagel,1999
martin j. sprinzen,23/8/99,1006370,sprinzen,1999
ramesh srinivasan,1/8/14,2491,srinivasan,2014
john t. standley,27/2/07,95585,standley,2007
rodney w. stanley,10/6/98,906520,stanley,1998
robert p. stanojev,11/5/04,920521,stanojev,2004
john w. stanton,10/1/05,930738,stanton,2005
michael s. starnes,12/12/00,790372,starnes,2000
john h. steadman,8/5/02,928950,steadman,2002
t. f. steinbecker,4/3/99,86251,steinbecker,1999
jeffrey j. steiner,7/7/98,9779,steiner,1998
robert a. steinkrauss,1/12/97,945429,steinkrauss,1997
charles c. stephenson,13/10/05,809428,stephenson,2005
william v. stephenson,19/10/98,797320,stephenson,1998
lawrence d. stern,7/6/10,1405197,stern,2010
david wayne stevens,8/7/06,18072,stevens,2006
peter k. stevenson,25/6/07,1003111,stevenson,2007
james w. stewart,31/8/09,864328,stewart,2009
michael r. stewart,25/9/02,854099,stewart,2002
jeffrey m. stibel,26/6/07,854460,stibel,2007
douglas h. stickney,1/5/96,873393,stickney,1996
alan n. stillman,16/1/07,1137047,stillman,2007
john e. stokely,9/6/99,819632,stokely,1999
jack e. stover,29/10/14,1054102,stover,2014
tony strange,15/5/14,1096142,strange,2014
arthur w. stratton,13/4/98,900304,stratton,1998
walter w. straub,22/10/03,819706,straub,2003
stephanie a. streeter,31/10/06,9801,streeter,2006
steven stringer,2/9/97,906282,stringer,1997
russ m. strobel,7/12/10,72020,strobel,2010
john t. stupka,28/5/99,842915,stupka,1999
fred r. sullivan,30/5/01,83877,sullivan,2001
patrick j. sullivan,20/5/07,849778,sullivan,2007
timothy william sullivan,15/11/10,740761,sullivan,2010
w. dennis summers,17/5/01,1039139,summers,2001
sam l. susser,28/4/14,1361709,susser,2014
nicholas j. sutton,14/5/01,869295,sutton,2001
douglas e. swanson,10/8/98,831964,swanson,1998
richard j. szalwinski,21/8/98,943318,szalwinski,1998
abhijit y. talwalkar,16/12/13,703360,talwalkar,2013
hock e. tan,15/6/05,874689,tan,2005
philippe tartavull,29/9/10,1045769,tartavull,2010
jack p. tate,2/10/96,927806,tate,1996
john l. taylor,18/6/97,946826,taylor,1997
nicholas l. teti,21/3/05,109831,teti,2005
john c. thibault,13/4/99,1023905,thibault,1999
m. r. thomann,23/10/97,81764,thomann,1997
bruce v. thomas,27/12/06,745274,thomas,2006
david w. thompson,29/4/14,820736,thompson,2014
keith m. thompson,18/2/98,83194,thompson,1998
peter a. thompson,12/8/10,1298521,thompson,2010
william m. thompson,7/5/98,824008,thompson,1998
j. patrick tinley,4/9/03,873594,tinley,2003
irvin toole,12/6/06,1168397,toole,2006
steve toth,26/3/01,354611,toth,2001
timothy j. triche,7/7/98,922821,triche,1998
cecily truett,27/2/98,868796,truett,1998
glen e. tullman,14/3/97,1000188,tullman,1997
dan c. tutcher,16/3/01,276327,tutcher,2001
tommy a. valenta,10/7/07,1319048,valenta,2007
sunny c. vanderbeck,2/11/01,1088330,vanderbeck,2001
rajendra b. vattikuti,25/4/07,1028461,vattikuti,2007
bobba venkatadri,12/10/00,719598,venkatadri,2000
patrick vogt,8/5/08,919794,vogt,2008
gelu voicu,17/7/08,899636,voicu,2008
gary j. vroman,17/11/10,814250,vroman,2010
thomas h. waechter,20/5/02,925054,waechter,2002
paul g. van wagenen,17/7/07,230463,wagenen,2007
stephen t. walker,23/2/98,1013355,walker,1998
peter c. wallace,9/8/12,84290,wallace,2012
sang s. wang,1/12/04,1157624,wang,2004
paul j. van der wansem,22/10/14,840883,wansem,2014
j. barrie ward,12/5/98,902010,ward,1998
milton hawkins ward,20/8/99,769589,ward,1999
george e. wardeberg,28/6/99,314890,wardeberg,1999
jack l. waterman,12/10/06,789851,waterman,2006
don r. wellendorf,3/3/09,1246263,wellendorf,2009
alan l. wells,24/11/09,1120462,wells,2009
howard philip welt,29/7/03,1077301,welt,2003
stig wennerstrom,10/7/00,946140,wennerstrom,2000
robert j. wenzel,13/5/04,1052958,wenzel,2004
william j. weyand,23/5/01,820235,weyand,2001
r. graham whaling,18/8/97,1022664,whaling,1997
j. steven whisler,19/11/06,78066,whisler,2006
kenneth t. white,3/6/08,1051034,white,2008
m. anthony white,14/6/99,1021080,white,1999
tony l. white,12/6/08,77551,white,2008
jonathan p. whitworth,25/9/06,810113,whitworth,2006
michael w. wickham,8/7/03,1141496,wickham,2003
james f. will,21/5/99,7383,will,1999
jeffrey s. williams,18/7/02,1053384,williams,2002
john a. williams,1/6/05,1010397,williams,2005
mikel h. williams,4/4/12,1104252,williams,2012
bruce a. williamson,11/6/99,879215,williamson,1999
charles r. williamson,4/4/05,716039,williamson,2005
floyd c. wilson,13/11/97,914144,wilson,1997
floyd c. wilson,3/2/03,903267,wilson,2003
jackson l. wilson,11/8/08,1009304,wilson,2008
jackson l. wilson,5/11/09,1009304,wilson,2009
jerry winchester,10/4/10,833845,winchester,2010
michael p. windisch,27/12/10,746834,windisch,2010
marvin j. winkler,22/3/04,1078717,winkler,2004
elizabeth a. withers,28/3/02,1097984,withers,2002
david a. woodle,23/9/07,350621,woodle,2007
emerick woods,22/10/02,1029784,woods,2002
randall e. woods,25/2/03,882100,woods,2003
david b. wright,8/7/03,859360,wright,2003
mark k. wright,25/9/00,1081614,wright,2000
george s. writer,31/1/00,108606,writer,2000
richard c. wyckoff,29/4/04,1078295,wyckoff,2004
forrest e. wylie,11/6/10,1359055,wylie,2010
john yearwood,21/2/10,721083,yearwood,2010
bing yeh,3/2/10,855906,yeh,2010
richard de young,10/8/98,881655,young,1998
thomas c.k. yuen,17/4/12,1016470,yuen,2012
randall k. zanatta,13/11/06,1327098,zanatta,2006
charles e. zeigler ,17/2/99,81025,zeigler,1999
john j. zillmer,23/6/08,848865,zillmer,2008
ron zwanziger,23/5/01,915901,zwanziger,2001
