1095785|SAGE CAPITAL LP|REGDEX|1993-12-30|edgar/data/1095785/9999999997-02-056978.txt|edgar/data/1095785/9999999997-02-056978-index.html
11860|BETHLEHEM STEEL CORP /DE/|10-Q|1993-11-12|edgar/data/11860/0000011860-94-000005.txt|edgar/data/11860/0000011860-94-000005-index.html
17206|CAPITAL HOLDING CORP|10-K/A|1993-12-22|edgar/data/17206/0000017206-94-000007.txt|edgar/data/17206/0000017206-94-000007-index.html
205239|DATAPOINT CORP|10-Q|1993-12-14|edgar/data/205239/0000205239-94-000003.txt|edgar/data/205239/0000205239-94-000003-index.html
20762|CLARK REFINING & MARKETING INC|10-Q|1993-11-12|edgar/data/20762/0000950131-94-000025.txt|edgar/data/20762/0000950131-94-000025-index.html
29082|DISNEY WALT CO|10-K|1993-12-22|edgar/data/29082/0000950131-94-000021.txt|edgar/data/29082/0000950131-94-000021-index.html
314808|ENERGY SERVICE COMPANY INC|11-KT|1993-12-31|edgar/data/314808/0000314808-94-000032.txt|edgar/data/314808/0000314808-94-000032-index.html
32377|ELIZABETHTOWN GAS CO|10-K|1993-12-13|edgar/data/32377/0000032377-94-000001.txt|edgar/data/32377/0000032377-94-000001-index.html
353944|INTERNATIONAL GAME TECHNOLOGY|10-K|1993-12-23|edgar/data/353944/0000353944-94-000005.txt|edgar/data/353944/0000353944-94-000005-index.html
60512|LOUISIANA LAND & EXPLORATION CO|10-K/A|1993-10-07|edgar/data/60512/0000060512-94-000006.txt|edgar/data/60512/0000060512-94-000006-index.html
60512|LOUISIANA LAND & EXPLORATION CO|10-Q|1993-11-10|edgar/data/60512/0000060512-94-000007.txt|edgar/data/60512/0000060512-94-000007-index.html
60512|LOUISIANA LAND & EXPLORATION CO|8-K|1993-10-29|edgar/data/60512/0000060512-94-000008.txt|edgar/data/60512/0000060512-94-000008-index.html
66740|MINNESOTA MINING & MANUFACTURING CO|10-Q|1993-11-12|edgar/data/66740/0000066740-94-000016.txt|edgar/data/66740/0000066740-94-000016-index.html
860585|RBS PARTNERS L P /CT|13FCONP|1993-11-15|edgar/data/860585/9999999997-04-035723.txt|edgar/data/860585/9999999997-04-035723-index.html
861439|AMERICAN MEDICAL HOLDINGS INC|10-K|1993-11-29|edgar/data/861439/0000912057-94-000263.txt|edgar/data/861439/0000912057-94-000263-index.html
894088|JP MORGAN INSTITUTIONAL FUNDS|NT-NSAR|1993-12-30|edgar/data/894088/9999999997-05-036750.txt|edgar/data/894088/9999999997-05-036750-index.html
895421|MORGAN STANLEY DEAN WITTER & CO|SC 13D/A|1993-11-08|edgar/data/895421/0001021408-01-503754.txt|edgar/data/895421/0001021408-01-503754-index.html
909465|AFFILIATE STKHLDRS OF MORGAN STANLEY DEAN WITTER DISCOVER&CO|SC 13D/A|1993-11-08|edgar/data/909465/0001021408-01-503754.txt|edgar/data/909465/0001021408-01-503754-index.html
926688|SMITH THOMAS W|13F-HR|1993-11-12|edgar/data/926688/9999999997-05-015667.txt|edgar/data/926688/9999999997-05-015667-index.html
926688|SMITH THOMAS W|13FCONP|1993-11-15|edgar/data/926688/9999999997-05-015669.txt|edgar/data/926688/9999999997-05-015669-index.html
