,gvkey,cluster,fyear
318,8810,6,1998
319,8850,6,1998
320,8859,6,1998
321,8873,13,1998
322,8892,12,1998
323,8912,13,1998
324,8960,0,1998
325,8974,15,1998
326,9004,6,1998
327,9016,6,1998
328,9023,1,1998
329,9058,13,1998
330,9125,1,1998
331,9155,13,1998
332,9173,13,1998
333,9195,13,1998
334,9216,13,1998
335,9217,19,1998
336,9248,0,1998
337,9299,17,1998
338,9308,13,1998
339,9313,17,1998
340,9317,19,1998
341,9359,7,1998
342,9372,3,1998
343,9466,13,1998
344,9472,6,1998
345,9548,5,1998
346,9599,9,1998
347,9602,12,1998
348,9635,7,1998
349,9643,6,1998
350,9689,13,1998
351,9692,13,1998
352,9718,11,1998
353,9742,6,1998
354,9771,6,1998
355,9772,6,1998
356,9804,12,1998
357,9831,13,1998
358,9837,0,1998
359,9841,13,1998
360,9846,6,1998
361,9850,13,1998
362,9857,6,1998
363,9867,6,1998
364,9882,17,1998
365,9890,6,1998
366,9904,6,1998
367,9921,13,1998
368,9952,3,1998
369,10004,6,1998
370,10010,3,1998
371,10033,0,1998
372,10071,1,1998
373,10097,0,1998
374,10109,17,1998
375,10115,15,1998
376,10124,6,1998
377,10156,13,1998
378,10163,0,1998
379,10195,6,1998
380,10198,6,1998
381,10232,7,1998
382,10238,13,1998
383,10247,0,1998
384,10252,9,1998
385,10271,3,1998
386,10277,6,1998
387,10292,6,1998
388,10301,13,1998
389,10331,6,1998
390,10345,13,1998
391,10407,6,1998
392,10453,18,1998
393,10482,6,1998
394,10498,13,1998
395,10530,1,1998
396,10537,18,1998
397,10540,13,1998
398,10553,18,1998
399,10580,3,1998
400,10588,12,1998
401,10621,6,1998
402,10665,12,1998
403,10751,6,1998
404,10793,6,1998
405,10813,13,1998
406,10816,13,1998
407,10840,13,1998
408,10855,6,1998
409,10860,6,1998
410,10867,13,1998
411,10974,14,1998
412,10983,0,1998
413,10993,15,1998
414,11001,3,1998
415,11017,6,1998
416,11032,13,1998
417,11038,13,1998
418,11096,13,1998
419,11113,17,1998
420,11117,0,1998
421,11124,9,1998
422,11135,18,1998
423,11147,12,1998
424,11185,1,1998
425,11191,13,1998
426,11234,0,1998
427,11236,6,1998
428,11249,12,1998
429,11259,17,1998
430,11261,13,1998
431,11271,1,1998
432,11278,12,1998
433,11312,3,1998
434,11313,1,1998
435,11366,6,1998
436,11399,12,1998
437,11436,5,1998
438,11465,6,1998
439,11506,13,1998
440,11511,1,1998
441,11537,6,1998
442,11566,12,1998
443,11600,3,1998
444,11609,10,1998
445,11669,3,1998
446,11672,0,1998
447,11748,13,1998
448,11811,14,1998
449,11902,17,1998
450,11910,18,1998
451,11974,13,1998
452,12047,3,1998
453,12051,6,1998
454,12169,17,1998
455,12171,3,1998
456,12238,13,1998
457,12239,13,1998
458,12262,1,1998
459,12269,12,1998
460,12309,6,1998
461,12338,4,1998
462,12379,17,1998
463,12382,19,1998
464,12389,7,1998
465,12392,13,1998
466,12403,1,1998
467,12417,0,1998
468,12421,7,1998
469,12441,7,1998
470,12445,6,1998
471,12544,10,1998
472,12570,9,1998
473,12631,6,1998
474,12681,13,1998
475,12718,18,1998
476,12788,13,1998
477,12825,1,1998
478,12840,3,1998
479,12850,9,1998
480,12868,12,1998
481,12945,6,1998
482,13011,18,1998
483,13028,13,1998
484,13031,13,1998
485,13032,13,1998
486,13096,17,1998
487,13197,1,1998
488,13241,5,1998
489,13308,9,1998
490,13315,18,1998
491,13318,6,1998
492,13323,6,1998
493,13397,19,1998
494,13406,6,1998
495,13408,13,1998
496,13421,15,1998
497,13473,13,1998
498,13486,17,1998
499,13503,13,1998
500,13525,9,1998
501,13526,10,1998
502,13531,17,1998
503,13553,13,1998
504,13554,17,1998
505,13608,18,1998
506,13623,13,1998
507,13693,17,1998
508,13824,9,1998
509,13839,13,1998
510,13902,18,1998
511,13927,13,1998
512,13941,9,1998
513,13976,1,1998
514,14001,1,1998
515,14084,6,1998
516,14225,10,1998
517,14244,3,1998
518,14311,0,1998
519,14324,10,1998
520,14325,6,1998
521,14369,6,1998
522,14384,17,1998
523,14385,12,1998
524,14412,3,1998
525,14418,1,1998
526,14450,13,1998
527,14462,13,1998
528,14565,0,1998
529,14578,13,1998
530,14623,9,1998
531,14624,1,1998
532,14650,4,1998
533,14854,6,1998
534,14866,1,1998
535,14881,2,1998
536,14897,15,1998
537,15106,5,1998
538,15247,13,1998
539,15293,11,1998
540,15302,13,1998
541,15312,6,1998
542,15343,13,1998
543,15426,6,1998
544,15459,16,1998
545,15487,1,1998
546,15521,17,1998
547,15708,0,1998
548,15855,18,1998
549,16188,10,1998
550,16419,5,1998
551,16420,16,1998
552,16563,10,1998
553,16597,9,1998
554,16665,1,1998
555,16710,9,1998
556,16721,9,1998
557,16932,15,1998
558,17079,3,1998
559,17110,1,1998
560,17164,13,1998
561,17202,6,1998
562,18654,6,1998
563,18705,12,1998
564,19427,1,1998
565,20158,6,1998
566,20192,15,1998
567,20338,3,1998
568,20588,12,1998
569,20779,4,1998
570,20904,1,1998
571,20909,16,1998
572,21149,1,1998
573,21235,6,1998
574,21237,1,1998
575,21238,18,1998
576,21429,6,1998
577,21440,3,1998
578,21487,7,1998
579,21496,1,1998
580,21508,9,1998
581,21519,12,1998
582,22170,3,1998
583,22205,3,1998
584,22255,11,1998
585,22325,10,1998
586,22461,6,1998
587,22532,13,1998
588,22612,0,1998
589,22668,11,1998
590,22815,3,1998
591,22829,1,1998
592,22974,11,1998
593,23084,1,1998
594,23252,0,1998
595,23499,12,1998
596,23697,13,1998
597,23767,9,1998
598,23774,1,1998
599,23809,1,1998
600,23877,3,1998
601,23897,7,1998
602,23943,8,1998
603,23973,11,1998
604,24021,3,1998
605,24069,10,1998
606,24197,9,1998
607,24216,15,1998
608,24219,7,1998
609,24225,6,1998
610,24338,12,1998
611,24345,1,1998
612,24350,1,1998
613,24352,0,1998
614,24356,13,1998
615,24382,6,1998
616,24405,10,1998
617,24419,12,1998
618,24483,17,1998
619,24486,0,1998
620,24522,6,1998
621,24538,15,1998
622,24617,13,1998
623,24621,7,1998
624,24720,6,1998
625,24779,17,1998
626,24783,12,1998
627,24800,12,1998
628,24893,1,1998
629,24908,10,1998
630,24925,7,1998
631,24969,3,1998
632,24975,9,1998
633,24978,11,1998
634,25025,17,1998
635,25062,15,1998
636,25069,6,1998
637,25080,7,1998
638,25081,13,1998
639,25099,14,1998
640,25111,1,1998
641,25115,1,1998
642,25119,6,1998
643,25132,1,1998
644,25180,13,1998
645,25181,6,1998
646,25183,1,1998
647,25186,17,1998
648,25202,1,1998
649,25216,10,1998
650,25234,13,1998
651,25271,0,1998
652,25283,7,1998
653,25326,6,1998
654,25331,6,1998
655,25338,4,1998
656,25341,1,1998
657,25355,0,1998
658,25357,17,1998
659,25390,5,1998
660,25405,13,1998
661,25422,6,1998
662,25431,0,1998
663,25434,7,1998
664,25441,6,1998
665,25572,1,1998
666,25627,15,1998
667,25662,12,1998
668,25670,13,1998
669,25680,1,1998
670,25737,13,1998
671,25747,1,1998
672,25773,1,1998
673,25774,9,1998
674,25777,6,1998
675,25844,9,1998
676,25878,1,1998
677,25944,8,1998
678,25983,17,1998
679,26004,1,1998
680,26011,14,1998
681,26021,15,1998
682,26905,4,1998
683,27766,6,1998
684,27816,8,1998
685,27914,3,1998
686,27924,13,1998
687,27925,18,1998
688,27928,9,1998
689,27930,6,1998
690,27937,7,1998
691,27938,17,1998
692,27940,11,1998
693,27960,1,1998
694,27965,10,1998
695,27981,1,1998
696,28125,1,1998
697,28130,4,1998
698,28145,10,1998
699,28169,6,1998
700,28176,13,1998
701,28182,7,1998
702,28191,10,1998
703,28195,1,1998
704,28253,11,1998
705,28305,1,1998
706,28317,13,1998
707,28371,3,1998
708,28389,13,1998
709,28398,16,1998
710,28403,12,1998
711,28462,16,1998
712,28469,7,1998
713,28524,2,1998
714,28528,6,1998
715,28530,6,1998
716,28579,12,1998
717,28600,1,1998
718,28616,1,1998
719,28648,1,1998
720,28678,9,1998
721,28711,15,1998
722,28742,13,1998
723,28765,1,1998
724,28766,9,1998
725,28781,0,1998
726,28848,10,1998
727,28851,7,1998
728,28895,13,1998
729,28917,0,1998
730,28924,17,1998
731,28933,13,1998
732,28947,0,1998
733,28958,13,1998
734,28997,12,1998
735,29001,12,1998
736,29011,6,1998
737,29044,6,1998
738,29079,3,1998
739,29085,18,1998
740,29095,15,1998
741,29105,7,1998
742,29133,12,1998
743,29143,13,1998
744,29150,17,1998
745,29156,13,1998
746,29169,11,1998
747,29173,11,1998
748,29206,7,1998
749,29217,13,1998
750,29234,4,1998
751,29264,6,1998
752,29268,1,1998
753,29318,10,1998
754,29345,7,1998
755,29347,17,1998
756,29353,12,1998
757,29356,8,1998
758,29381,9,1998
759,29386,18,1998
760,29387,12,1998
761,29392,6,1998
762,29395,13,1998
763,29411,11,1998
764,29424,13,1998
765,29435,1,1998
766,29496,13,1998
767,29511,0,1998
768,29638,6,1998
769,29642,0,1998
770,29736,13,1998
771,29751,6,1998
772,29791,9,1998
773,29854,12,1998
774,29870,6,1998
775,29901,1,1998
776,29910,12,1998
777,29952,1,1998
778,29968,13,1998
779,30009,17,1998
780,30025,13,1998
781,30034,3,1998
782,30068,13,1998
783,30087,18,1998
784,30107,13,1998
785,30113,6,1998
786,30130,3,1998
787,30161,12,1998
788,30170,1,1998
789,30193,1,1998
790,30203,9,1998
791,30259,17,1998
792,30260,1,1998
793,30277,17,1998
794,30283,12,1998
795,30310,1,1998
796,30312,15,1998
797,30383,12,1998
798,30400,13,1998
799,30420,12,1998
800,30443,6,1998
801,30557,13,1998
802,30576,10,1998
803,30598,1,1998
804,30599,13,1998
805,30671,13,1998
806,30689,17,1998
807,30726,6,1998
808,30781,18,1998
809,30782,1,1998
810,30870,9,1998
811,30877,1,1998
812,30906,1,1998
813,30914,12,1998
814,30925,1,1998
815,30989,1,1998
816,30994,13,1998
817,31022,11,1998
818,31048,1,1998
819,31142,9,1998
820,31147,9,1998
821,31166,4,1998
822,31168,3,1998
823,31203,15,1998
824,31224,5,1998
825,31427,3,1998
826,31453,17,1998
827,31454,10,1998
828,31467,1,1998
829,31483,18,1998
830,31512,1,1998
831,31532,12,1998
832,31551,12,1998
833,31560,15,1998
834,31567,6,1998
835,31571,9,1998
836,31586,10,1998
837,31607,9,1998
838,31622,18,1998
839,31666,3,1998
840,31693,1,1998
841,31700,17,1998
842,31784,1,1998
843,31786,7,1998
844,31813,7,1998
845,31846,6,1998
846,31847,0,1998
847,31880,12,1998
848,60797,18,1998
849,60800,15,1998
850,60814,1,1998
851,60832,13,1998
852,60840,6,1998
853,60901,8,1998
854,60950,4,1998
855,60951,9,1998
856,60969,8,1998
857,61059,12,1998
858,61095,7,1998
859,61132,0,1998
860,61151,15,1998
861,61171,12,1998
862,61180,2,1998
863,61242,12,1998
864,61247,8,1998
865,61300,1,1998
866,61339,13,1998
867,61396,3,1998
868,61397,1,1998
869,61398,12,1998
870,61404,7,1998
871,61407,11,1998
872,61409,10,1998
873,61430,12,1998
874,61439,9,1998
875,61441,15,1998
876,61443,9,1998
877,61494,1,1998
878,61513,9,1998
879,61519,13,1998
880,61532,8,1998
881,61552,0,1998
882,61562,18,1998
883,61566,9,1998
884,61567,7,1998
885,61573,9,1998
886,61574,14,1998
887,61581,13,1998
888,61596,16,1998
889,61600,5,1998
890,61606,9,1998
891,61635,12,1998
892,61658,19,1998
893,61676,8,1998
894,61700,11,1998
895,61730,15,1998
896,61732,7,1998
897,61735,13,1998
898,61759,1,1998
899,61814,11,1998
900,61839,6,1998
901,61868,5,1998
902,61871,1,1998
903,61873,1,1998
904,62005,8,1998
905,62036,7,1998
906,62065,13,1998
907,62162,7,1998
908,62268,12,1998
909,62284,8,1998
910,62285,18,1998
911,62320,1,1998
912,62321,1,1998
913,62338,8,1998
914,62339,1,1998
915,62377,11,1998
916,62399,8,1998
917,62406,1,1998
918,62433,3,1998
919,62453,19,1998
920,62492,15,1998
921,62501,3,1998
922,62505,7,1998
923,62515,1,1998
924,62564,13,1998
925,62590,17,1998
926,62602,8,1998
927,62690,19,1998
928,62691,8,1998
929,62730,2,1998
930,62732,17,1998
931,62814,7,1998
932,62850,1,1998
933,62897,16,1998
934,62898,13,1998
935,62922,7,1998
936,62957,13,1998
937,62967,15,1998
938,62982,12,1998
939,63013,0,1998
940,63052,13,1998
941,63102,3,1998
942,63170,17,1998
943,63180,8,1998
944,63181,1,1998
945,63182,12,1998
946,63185,15,1998
947,63196,11,1998
948,63199,12,1998
949,63252,1,1998
950,63269,1,1998
951,63424,6,1998
952,63451,5,1998
953,63456,15,1998
954,63461,6,1998
955,63468,1,1998
956,63483,1,1998
957,63498,14,1998
958,63500,7,1998
959,63503,12,1998
960,63535,13,1998
961,63559,13,1998
962,63589,8,1998
963,63594,1,1998
964,63621,17,1998
965,63627,13,1998
966,63641,7,1998
967,63643,14,1998
968,63644,1,1998
969,63657,15,1998
970,63659,12,1998
971,63661,7,1998
972,63678,8,1998
973,63754,14,1998
974,63766,0,1998
975,63768,12,1998
976,63775,12,1998
977,63848,1,1998
978,63869,7,1998
979,63876,1,1998
980,63892,1,1998
981,63918,8,1998
982,63919,12,1998
983,63920,12,1998
984,63927,1,1998
985,63971,14,1998
986,64028,0,1998
987,64030,12,1998
988,64048,1,1998
989,64096,13,1998
990,64175,1,1998
991,64178,0,1998
992,64183,3,1998
993,64184,5,1998
994,64292,1,1998
995,64320,7,1998
996,64332,6,1998
997,64344,1,1998
998,64381,5,1998
999,64486,7,1998
1000,64510,1,1998
1001,64513,13,1998
1002,64528,1,1998
1003,64537,12,1998
